rg,rn,ta,vpd,swc,ts,rh,pm2_5,pm2_5_raw,pm2_5_pred
229.471,101.152,2.701,609.544,0.169808,2.3,13.309,2.0314,,
152.252,26.2104,3.067,624.139,0.169606,2.3,12.3524,1.6754,,
80.0149,-36.1543,3.044,629.849,0.169844,2.3,11.5893,1.6733,,
18.6497,-80.3365,1.027,515.826,0.169803,2.3,15.9459,1.6712,,
1.7407,-82.2751,-1.075,421.842,0.169551,2.3,18.5029,1.4220000000000002,,
1.05198,-80.8453,-1.865,400.816,0.169755,2.3,18.5129,1.1728,,
1.04708,-79.7735,-1.961,396.604,0.170291,2.3,18.1918,1.19365,,
1.0429,-79.2344,-2.434,381.815,0.169369,2.3,18.9616,1.2145,,
1.04289,-78.1346,-3.029,356.39,0.169891,2.36,21.2316,3.69725,,
1.04891,-78.2971,-2.771,366.101,0.170155,2.4,20.5985,6.18,,
1.0603,-76.1459,-2.763,368.147,0.169871,2.4,20.3516,6.21765,,
1.04322,-74.5235,-2.686,365.495,0.169943,2.4,20.8526,6.2553,,
1.05531,-73.8361,-3.17,349.594,0.170346,2.4,21.6233,10.7339,,
1.03707,-74.7992,-3.246,350.247,0.170084,2.4,21.2766,15.2125,,
1.0385,-72.831,-3.563,340.627,0.170187,2.4,21.6427,15.23395,,
1.05539,-72.4945,-3.148,354.355,0.170098,2.4,20.6908,15.2554,,
1.04524,-70.8708,-3.407,346.101,0.170182,2.4,21.2517,17.80625,,
1.05377,-71.1855,-3.252,353.514,0.170178,2.4,21.0709,20.3571,,
1.04251,-72.8305,-2.713,366.906,0.169594,2.4,20.0834,20.33165,,
1.03125,-71.3471,-3.504,342.878,0.169841,2.4,21.0795,20.3062,,
1.04792,-70.5875,-3.819,337.333,0.169398,2.4,20.9989,17.278100000000002,,
1.03982,-70.6236,-3.546,338.5,0.169904,2.4,21.6655,14.25,,
1.04406,-68.4393,-5.397,284.403,0.169809,2.4,26.4358,14.2322,,
1.04723,-68.2277,-4.827,302.362,0.170285,2.4,23.8126,14.2144,,
1.03556,-68.816,-3.876,325.29,0.170028,2.34,23.0486,12.0947,,
1.04417,-66.1042,-5.337,289.832,0.170367,2.3,25.2412,9.975,,
1.04422,-66.4076,-5.231,285.342,0.170251,2.3,26.0112,9.96255,,
1.05332,-62.8697,-6.496,252.754,0.169773,2.3,28.8408,9.9501,,
1.06,-64.5464,-5.759,268.725,0.170239,2.3,27.341,8.4663,,
1.03567,-64.9085,-5.792,271.423,0.170314,2.3,27.0116,6.9825,,
1.03735,-64.7567,-5.808,270.224,0.170226,2.3,26.9929,6.97375,,
1.04033,-63.8811,-6.065,261.198,0.170323,2.3,27.9658,6.965,,
1.04533,-64.3374,-6.322,254.318,0.169798,2.3,28.6285,5.926349999999999,,
7.06014,-59.5338,-6.382,253.299,0.170005,2.3,28.7055,4.8877,,
27.2155,-42.9483,-6.17,260.367,0.170045,2.3,28.1666,4.8816,,
17.137819999999998,-51.24105,-6.276,256.833,0.1700249999999999,2.3,28.43605,4.8755,,
135.18113333333335,61.61631666666667,-3.1268333333333334,340.0238333333333,0.1696333333333333,2.3,27.51005,4.14845,,
223.42484,153.41434,-2.156,374.3244,0.1695384,2.3,26.35044,3.4214,,
295.4932,229.0382,-1.6378,400.0884,0.1696078,2.3,25.0038,3.4171500000000004,,
344.9896,275.5756,-1.0764,424.4136,0.1697212,2.3,23.77848,3.4129,,
382.3804,308.036,-0.5322,450.6082,0.1697054,2.3,22.58178,2.90395,,
408.8002,327.1882,-0.0102,478.414,0.1697202,2.3,21.28756,2.395,,
422.4042,331.6048,0.5212,506.034,0.1697752,2.3,20.01954,2.392,,
419.632,319.5272,0.9518,528.6832,0.1697324,2.3,18.95578,2.389,,
404.3544,294.3834,1.3218,550.8938,0.1696504,2.3,17.804380000000002,2.03275,,
374.8546,256.7034,1.6906,566.3798,0.1697242,2.3,16.71006,1.6765,,
332.3272,209.1552,2.0114,579.8856000000001,0.1697834,2.3,15.6986,1.683,,
277.75600000000003,152.34648,2.3522,594.3222000000001,0.1697126,2.3,14.5954,1.6895,,
216.74958,92.53402,2.6318,607.1732000000001,0.1697438,2.3,13.4826,2.46265,,
154.18432,34.660520000000005,2.4598,593.6846,0.1698206,2.3,13.53888,3.2358,,
96.42566,-14.2807,1.7528,560.24,0.1697224,2.3,14.3399,3.2419,,
50.741856,-50.68016,0.8396,518.4944,0.1697118,2.3,15.38068,3.248,,
20.500872,-71.87693999999999,-0.166,472.9874,0.1698488,2.3,16.54856,3.24495,,
